SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
PETRONENGG, BE, 28-Mar-2019, 18.45, 18.45, 18.45, 17.70, 17.95, 17.95, 17.91, 236, 0.04, 9, -, -
PETRONET, EQ, 28-Mar-2019, 236.05, 235.05, 246.00, 234.35, 244.50, 244.45, 242.56, 6519917, 15814.92, 247084, 4882761, 74.89
PFC, EQ, 28-Mar-2019, 117.65, 117.80, 119.70, 116.35, 117.70, 117.50, 117.99, 10370591, 12236.61, 44904, 4838467, 46.66
PFC, N4, 28-Mar-2019, 1084.99, 1080.30, 1080.30, 1080.30, 1080.30, 1080.30, 1080.30, 20, 0.22, 1, 20, 100.00
PFC, N8, 28-Mar-2019, 1298.00, 1301.20, 1301.25, 1290.00, 1290.00, 1290.00, 1300.97, 179, 2.33, 3, 179, 100.00
PFIZER, EQ, 28-Mar-2019, 3267.10, 3251.00, 3321.00, 3230.00, 3273.90, 3290.25, 3271.83, 22424, 733.68, 3915, 13421, 59.85
PFOCUS, EQ, 28-Mar-2019, 65.60, 65.00, 66.15, 63.00, 66.00, 66.05, 65.37, 18975, 12.40, 773, 13511, 71.20
PFS, EQ, 28-Mar-2019, 15.80, 15.90, 16.35, 15.80, 16.25, 16.15, 16.18, 705186, 114.12, 1664, 452315, 64.14
PGEL, EQ, 28-Mar-2019, 79.00, 80.05, 84.80, 80.05, 82.10, 81.95, 82.51, 346302, 285.75, 3850, 83942, 24.24
PGHH, EQ, 28-Mar-2019, 10701.00, 10701.00, 10974.00, 10586.95, 10706.00, 10843.95, 10776.83, 3577, 385.49, 1557, 2206, 61.67
PGIL, EQ, 28-Mar-2019, 180.20, 183.70, 183.70, 180.00, 181.60, 181.80, 181.07, 7625, 13.81, 178, 6618, 86.79
PHILIPCARB, EQ, 28-Mar-2019, 173.20, 173.00, 181.50, 172.60, 177.40, 177.55, 178.04, 1564832, 2786.01, 21462, 414136, 26.47
PHOENIXLTD, EQ, 28-Mar-2019, 631.10, 628.05, 672.00, 628.05, 646.30, 651.60, 657.07, 68780, 451.93, 4729, 10352, 15.05
PIDILITIND, EQ, 28-Mar-2019, 1224.00, 1225.00, 1243.50, 1217.00, 1224.00, 1225.95, 1230.72, 739727, 9103.95, 25416, 165774, 22.41
PIIND, EQ, 28-Mar-2019, 1029.45, 1034.00, 1034.00, 1018.00, 1020.05, 1025.55, 1026.60, 27764, 285.02, 3775, 7774, 28.00
PILANIINVS, EQ, 28-Mar-2019, 2125.30, 2140.00, 2158.75, 2125.00, 2125.00, 2126.55, 2138.17, 3087, 66.01, 133, 118, 3.82
PILITA, BE, 28-Mar-2019, 5.80, 6.00, 6.00, 5.60, 5.90, 5.90, 5.80, 4585, 0.27, 25, -, -
PIONDIST, EQ, 28-Mar-2019, 144.15, 144.20, 145.95, 143.45, 144.75, 144.50, 144.51, 2006, 2.90, 73, 1095, 54.59
PIONEEREMB, BE, 28-Mar-2019, 23.55, 22.80, 23.75, 22.60, 23.75, 23.75, 22.80, 1511, 0.34, 6, -, -
PIRPHYTO, BE, 28-Mar-2019, 34.00, 35.00, 35.70, 34.50, 35.70, 35.50, 35.25, 14265, 5.03, 28, -, -
PITTIENG, EQ, 28-Mar-2019, 51.55, 51.60, 51.90, 50.75, 51.40, 51.40, 51.44, 30608, 15.75, 265, 25519, 83.37
PKTEA, BE, 28-Mar-2019, 177.05, 177.00, 178.70, 177.00, 178.70, 178.70, 177.60, 141, 0.25, 5, -, -
PLASTIBLEN, EQ, 28-Mar-2019, 195.50, 197.10, 201.50, 193.05, 199.70, 199.95, 199.22, 1761, 3.51, 100, 1086, 61.67
PNB, EQ, 28-Mar-2019, 93.40, 93.90, 95.80, 93.35, 95.40, 95.35, 94.92, 43461013, 41254.08, 89634, 9952002, 22.90
PNBGILTS, EQ, 28-Mar-2019, 31.60, 31.65, 32.30, 31.65, 31.80, 31.90, 32.02, 108327, 34.69, 412, 81365, 75.11
PNBHOUSING, EQ, 28-Mar-2019, 819.60, 825.80, 835.00, 824.05, 827.00, 828.50, 828.09, 460851, 3816.24, 20158, 331325, 71.89
